a
aᵐ
aᵑ
aⁿ
b
d
e
eᵐ
eⁿ
i
iᵑ
k
l
m
n
o
oᵐ
oⁿ
p
r
t
u
uᵐ
uⁿ
z
ŋ
ɡ
ɣ
β
