b
d
dʲ
d͡ʒ
e
eː
e̯
f
h
hʲ
i
iː
i̯
j
k
kʲ
kː
l
lʲ
lʲː
lː
m
mː
n
nʲ
nʲː
nː
o
o̯
p
pʲ
pː
r
rʲ
s
sʲ
sʲː
sː
t
tʲ
tʲː
tː
t͡ʃ
t͡ʃː
u
uː
u̯
y
yː
y̯
z
zʲ
æ
æ̯
ø
ø̯
ŋ
ɑ
ɑ̯
ɡ
ʃ
ʋ
ʋː
