a
aː
b
d
d̪
d͡ʒ
e
eː
f
h
i
iː
j
k
l
l̪
m
n
n̪
o
oː
p
r
r̪
s
s̪
t
t̪
t͡ʃ
u
uː
w
ŋ
ə
ɡ
ɲ
ɸ
ʒ
ʔ
