bʲ
bˠ
dˠ
e
eː
e̯
i
iː
i̯
j
k
kʷ
l
lʲ
lʷ
lˠ
m
mʲ
mˠ
n
nʲ
nʷ
nˠ
o
oː
p
pʲ
pˠ
r
rʲ
rʷ
rˠ
t
tʲ
tˠ
u
uː
w
zʲ
æ
æː
ŋ
ŋʷ
ɑ
ɑː
ɒ
ɒː
ɔ
ɔː
ɛ
ɛː
ɛ̯
ɡ
ɡʷ
ɤ
ɤː
ɯ
ɯː
ɰ
ʌ
ʌː
