*
a
b
d
d͡z
d͡ʑ
h
h͈
i
j
k
kʰ
k̚
k͈
l
m
n
o
p
pʰ
p̚
p͈
s
sʰ
s̚
s͈
t
tʰ
t̚
t͈
t͡s
t͡sʰ
t͡ɕ
t͡ɕʰ
u
w
x
y
z
~
à
á
ì
í
ò
ó
ù
ú
ŋ
ŏ
ǎ
ǐ
ǒ
ǔ
ɕ
ə
ə̀
ə́
ə̌
ɡ
ɣ
ɤ
ɨ
ɨ̀
ɨ́
ɨ̌
ɾ
ʌ
ʌ̀
ʌ́
ʌ̌
ʑ
ʔ
˨
β
◌͈
