a
aː
b
bʰ
bʱ
d
dʰ
dʱ
d̪
d͡z
d͡zʱ
d͡ʒ
d͡ʒʱ
e
eː
f
h
i
iː
j
k
kʰ
l
lʱ
lː
m
mʱ
mʲ
mː
n
nʱ
nː
o
oː
p
pʰ
s
sː
s̪
t
tʰ
t̪
t̪ʰ
t͡s
t͡ʃ
u
uː
v
w
z
zʱ
~
ã
ãː
æ
õ
ĩ
ĩː
ŋ
ũ
ũː
ɑ
ɑː
ɑ̃ː
ɔ
ɔː
ɕ
ɖ
ɖː
ɖ̚
ɘ
ə
əː
ə̃
ɛ
ɛː
ɛ̃
ɡ
ɡʰ
ɡʱ
ɦ
ɪ
ɭ
ɭ̆
ɳ
ɳᵊ
ɹ̩
ɽ
ɾ
ɾː
ɾᵊ
ʂ
ʃ
ʈ
ʈʰ
ʈʰː
ʊ
ʋ
ʋʱ
ʒ
ẽ
