b
h
j
k
kʰ
kʼ
m
n
p
s
t
tʰ
tʼ
t͡s
t͡sʰ
t͡sʼ
t͡ɬʰ
t͡ɬʼ
t͡ʃ
t͡ʃʰ
t͡θʰ
t͡θʼ
w
x
z
à
àʰ
àː
àᵐ
á
áᵐ
áⁿ
è
é
ì
í
ð
ò̞
ò̞ː
ò̞ːʰ
ó̞
õ̞̀
ù
ú
úʰ
ĩ̀
ĩ́
ũ̀
ɛ̀
ɛ̀ʰ
ɛ̀ː
ɛ́
ɛ́ʰ
ɛ́ː
ɛ̃́
ɣ
ɪ̀
ɪ̀ʰ
ɪ́
ɬ
ɮ
ɾ
ʃ
ʔ
θ
ᵐb
ṍ̞
ṹ
ⁿt
