:
a
b
bʱ
d
dʱ
d͡ʑ
d͡ʑʱ
e
h
i
iː
j
k
kʰ
l
lʱ
m
mʱ
n
nʱ
o
p
pʰ
s
t
tʰ
t͡ɕ
t͡ɕʰ
u
uː
w
ã
ãː
æː
æ̃ː
ĩ
ĩː
ŋ
ũ
ũː
ɔ
ɔ̃
ɔ̃ː
ɖ
ə
ə̃
ə̃ː
ɛː
ɛ̃ː
ɡ
ɡʱ
ɾ
ʈ
ẽ
