'
a
aː
a̝ː
a̟
a̟ː
b
c
cʰ
cː
d
dʲ
dː
d̟
d̠̠͡ʒ
d̪
d͡ʒ
e
eː
e̞
e̞ː
e̯
f
h
hː
i
iː
j
jː
k
kʰ
kʲ
kː
k̚
k̟
k̟ʰ
k̟ʷ
l
lʲ
lʲː
lː
l̟ˠ
l̠
l̠ʲ
l̠̥ʲ
l̪
m
mʷ
mː
n
nː
n̟
n̪
o
oː
o̞
o̞ʷ
o̞ʷː
o̞ː
o̟
o̯
p
pʰ
r
rː
s
sː
s̟
s̪
t
tʰ
tʲ
tː
t̚
t̟
t̟ʰ
t̠̠͡ʃ
t̪
t̪ʰ
t͡ʃ
t͡ʃʰ
t͡ʃː
u
uʷ
uː
u̟
u̯
v
vː
w
x
y
yː
yᵝ
z
z̟
z̪
á
ä
äː
ä́
ä́ː
æ
æː
æ̯
ç
é
é̞
í
íː
ó
ó̞
ö
ø
øː
ø̞
ø̞ᵝ
ú
ý
ā
ħ
ŋ
œ
œː
œ̝
ǀ
ǿ
ɐ
ɐː
ɑ
ɑː
ɑ́
ɑ̃
ɑ̈
ɑ̈ː
ɑ̟
ɑ̯
ɑ̽
ɒ
ɔ
ɔː
ɕ
ə
ɛ
ɛː
ɛ́
ɟ
ɡ
ɣ
ɦ
ɦː
ɨ
ɨ́
ɪ
ɪ̯
ɫ
ɫʲ
ɫː
ɫ̟
ɫ̟̊
ɫ̩
ɫ̪
ɫ̪̥
ɯ
ɯː
ɯ́
ɯ̯
ɯ̽
ɰ
ɰ̟
ɲ
ɳ
ɶ
ɸ
ɹ
ɾ
ɾʲ
ɾː
ɾ̊
ɾ̝̊
ɾ̞
ɾ̞̊
ɾ̥
ɾ̩
ʀ̥
ʃ
ʃʰ
ʃː
ʊ
ʊʷ
ʊː
ʋ
ʌ
ʎ
ʎ̟
ʎ̟ː
ʎ̟̊
ʏ
ʏː
ʏᵝ
ʐ
ʒ
ʔ
ː
˕
β
β̞
χ
‿
