a
aː
b
d
d͡z
d͡ʑ
e
eː
f
h
i
iː
i̯
i̯ː
j
jʰ
k
kʰ
l
m
n
o
oː
p
pʰ
s
sʰ
t
tʰ
t͡s
t͡sʰ
t͡ɕ
t͡ɕʰ
t͡ʃ
t͡ʃʰ
u
uː
u̯
u̯ː
w
z
ø
ŋ
ɔ
ɕ
ɡ
ɨ
ɨː
ɪ̯
ɰ
ɲ
ɹ
ʔ
˥
˧
˩
ḛ
ḭ
ḭː
