b
b̥
d
dʲ
d̥
e
eː
e̯
f
fʲ
fʲː
fː
h
hʲ
hː
i
iː
i̯
j
jː
k
kʲ
kʲː
kː
l
lː
m
mʲ
mʲː
mː
n
nʲ
nʲː
nː
o
oː
o̯
p
pʲ
pʲː
pː
r
rʲ
rʲː
rː
s
sʲ
sʲː
sː
t
tʲ
tʲː
tː
t͡s
t͡sː
t͡ʃ
t͡ʃː
u
uː
u̯
v
vʲ
vʲː
vː
x
y
yː
y̯
z
zʲ
zː
z̥
æ
æː
æ̯
ø
øː
ŋ
ɑ
ɑː
ɑ̯
ə̟
ə̠
ɡ
ɡʲ
ɡː
ɤ
ɤː
ɤ̯
ɫ
ɫː
ʃ
ʃː
ʒ
ʒ̥
ʝ
ʝː
