b
bʲ
b̥
d
dʲ
dʲː
d̥
d̥ʲ
e
eː
e̝ː
e̞
f
fʲ
fʲː
fː
fˑ
h
hʲ
i
iː
i̯
j
jː
jˑ
k
kʲ
kʲː
kː
kˑ
l
lʲ
lʲː
lʲˑ
lː
lˑ
m
mʲ
mʲː
mː
mˑ
n
nʲ
nʲː
nː
nˑ
o
oː
o̝ː
o̞
p
pʲ
pʲː
pː
pˑ
r
rʲ
rː
rˑ
s
sʲ
sː
s̠
s̠ʲ
s̠ʲː
s̠ː
t
tʲ
tʲː
tʲˑ
tː
tˑ
t͡s
t͡s̠
t͡s̠ʲ
t͡ʃ
t͡ʃʲ
u
uː
u̯
x
xː
xˑ
y
yː
y̆
y̥̆
y̯
z
z̠
z̠ʲ
æ
æː
æ̯
ø
øː
ø̝ː
ø̞
ø̞̆
ø̞̥̆
ĭ
ĭ̯
ŋ
ŏ̞
ŏ̞̥
ŭ
ŭ̥
ɑ
ɑː
ə
ɡ
ɡː
ɡ̊
ɫ
ɫː
ɫˑ
ɲ
ɲː
ʃ
ʃʲː
ʃː
ʃˑ
ʋ
ʋʲ
ʋʲː
ʋː
ʋˑ
ʒ
ʒː
ʒ̥
ʒ̥ʲ
ʙː
