a
aː
b
b̥
d
dʰ
d̪
d͡ʒ
e
h
i
iː
j
k
l
m
n
o
p
p̚
r
s
t
t͡ʃ
u
w
ŋ
ɔ
ɖ
ɖ̥
ə
ɛ
ɡ
ɪ
ɲ
ɳ
ʃ
ʈ
ʊ
ʌ
ʒ
ʔ
