a
aː
b
bː
d
e
eː
f
h
i
iː
k
kː
l
lː
m
mː
n
o
oː
p
r
s
t
tː
u
uː
v
w
x
y
yː
z
øː
ŋ
ɔ
ɔː
ə
ə̯
ɛ
ɛː
ɛ̯
ɡ
ɣ
ɪ
ʏ
