a
aː
b
d
e
eː
f
h
i
iː
j
k
kʷ
k̚
l
m
n
o
oː
p
pʰ
p̚
s
t
tʰ
t̚
t͡s
t͡ɕ
u
uː
v
w
x
xʷ
ŋ
ɔ
ɔː
ɕ
ɛ
ɛː
ɤ
ɤː
ɯ
ɯː
ʔ
˥
˥˩
˧
˧˥
˩
˩˧
