a
aː
b
bʱ
bː
bˑ
bˑᵊ
b̆
b̚
bᵊ
d
d̚
d̪
d̪ʱ
d̪ʱᵊ
d̪ː
d̪ːʰ
d̪̚
d̪ᵊ
d͡ʒ
d͡ʒʱ
d͡ʒʱᵊ
d͡ʒː
d͡ʒːᵊ
d͡ʒˑᵊ
d͡ʒᵊ
e
eː
f
h
i
iː
j
jː
k
kʰ
kʰː
kʰːᵊ
kʰˑᵊ
kʰᵊ
kʱᵊ
kː
kːʰ
kːᵊ
kˑᵊ
k̚
kᵊ
l
lː
lːᵊ
l̪
lᵊ
m
mʱ
mː
mːᵊ
mˑ
mᵊ
n
nː
nːᵊ
nˑ
nˑᵊ
n̠
n̪
n̪ː
nᵊ
o
oː
p
pʰ
pʰː
pʱ
pː
pːᵊ
p̚
pᵊ
q
qːᵊ
r
rᵊ
s
sː
sːᵊ
sˑᵊ
s̆
s̪
s̪ˑᵊ
sᵊ
t
tʰ
t̚
t̪
t̪ʰ
t̪ʰː
t̪ʰᵊ
t̪ː
t̪ːʰ
t̪ːᵊ
t̪̚
t̪ᵊ
t͡ɕʰ
t͡ʃ
t͡ʃʰ
t͡ʃʰː
t͡ʃː
t͡ʃːʰ
t͡ʃːʱ
t͡ʃᵊ
tᵊ
u
uː
v
w
wᵊ
x
x̠
xᵊ
z
zᵊ
àː
áː
ãː
ä
äː
ä̃
ä̃ː
ä̌ː
æ
óː
õ
õː
ĕ
ĩ
ĩː
ĭ
ŋ
ŋː
ũ
ũː
ǽ
ɐ
ɐ̃
ɑ
ɑː
ɑ́ː
ɑ̃
ɑ̃ː
ɑ̈ː
ɔ
ɔː
ɔ̃ː
ɖ
ɖʱ
ɖː
ɖˑ
ɖˑᵊ
ɖ̆
ɖ̚
ɖᵊ
ə
ə̀
ə́
ə̃
ə̆
ə̯
ɛ
ɛː
ɛ́ː
ɛ̃
ɛ̃ː
ɜː
ɡ
ɡʱ
ɡː
ɡːᵊ
ɡ̚
ɡᵊ
ɣ
ɣᵊ
ɦ
ɦᵊ
ɪ
ɪ̃
ɪ̆
ɪ᷆
ɭ
ɭᵊ
ɲ
ɲː
ɲːᵊ
ɳ
ɳˑ
ɳᵊ
ɸ
ɽ
ɽʱ
ɽᵊ
ɾ
ɾᵊ
ʃ
ʃᵊ
ʈ
ʈʰ
ʈʰː
ʈː
ʈːʰ
ʈːᵊ
ʈ̚
ʈᵊ
ʊ
ʊ̃
ʊ̯
ʋ
ʒ
ʔ
ʕ
˥
˥˩
˥˩ː
˦
˦ː
˧
˨
˨ː
˩
˩˥
˩˧
˩˨
ӓː
ẽː
◌̀
◌́
