*
*ᵐ
*ᵑ
*ⁿ
a
aː
aˑ
aˑˑ
aᵑ
aⁿ
b
bʲ
c
cʰ
c͡ç
c͡çʰ
d
dʷ
d͡z
d͡ʑ
e
eː
eːˑ
eˑ
g
h
i
iː
iːˑ
iˑ
j
k
kʰ
kʰʲ
kʰʷ
kʲ
k̚ˀ
k̚ˀˑ
kᵐ
kᵑ
kⁿ
l
l̥
lⁿ
m
mʲ
mˑ
m̥
mᵑ
n
nˑ
n̥
nᵐ
nᵑ
nⁿ
o
oː
oːˑ
oˑ
p
pʰ
pʰʲ
pʲ
p̚
p̚ˑ
r
rʷ
r̥
rᵐ
rᵑ
rⁿ
s
sʰ
sᵑ
sⁿ
t
tʰ
t͡s
t͡sʰ
t͡sʰʷ
t͡sʷ
t͡ɕ
t͡ɕʰ
u
uː
uˑ
uᵐ
w
x
y
yː
yːˑ
z
³
¹
á
ã
æ
ç
é
éː
õ
øː
øːˑ
ø̃
ø̃ˑ
ĩ
ĩˑ
ŋ
ŋˑ
ŋ̊
ŋᵐ
ŋⁿ
ũ
ȵ
ȵ̥
ɐ
ɑ
ɑ̃
ɒ
ɒ́
ɕ
ɕʰ
ɖ͡ʐ
ə
əː
əˑ
ɛ
ɛː
ɛːˑ
ɛ̃
ɛ̃ˑ
ɟ
ɡ
ɡʲ
ɣ
ɣᵐ
ɣᵑ
ɪ
ɪː
ɬ
ɳ
ɹ
ɹˑ
ʂ
ʈ͡ʂ
ʈ͡ʂʰ
ʊ
ʊː
ʐ
ʑ
ʒ
ʔ
ʰm
ʰʈ͡ʂ
˥˥
˥˧
˥˨
˥˩
˧˥
˧˩
˨˧
˨˧˩
˩˧
˩˧˨
˩˨
β
χ
ᴜ
ẽ
ẽˑ
ỹ
ỹˑ
⁵
