a
b
d
e
f
h
i
i̯
j
k
kʰ
l
m
n
o
p
pʰ
q
qʰ
r
s
sʰ
t
tʰ
u
v
ã
ĩ
ĩ̯
ŋ
ũ
ɔ
ɔ̃
ɘ
ɘ̃
ə
ɛ
ɛ̃
ɨ
ɨ̃
ɵ
ʔ
˥
˧
˩
ẽ
